idGrp,idSubGrp,idTypeItem,idItem
5,2,3,15
5,2,3,25
5,2,3,26
5,2,3,4821
5,2,3,4822
5,2,3,4832
5,2,3,4833
5,2,3,5574
5,2,3,8595
5,2,3,8596
5,2,3,8657
5,2,3,8658
5,3,3,18
5,3,3,22
5,3,3,32
5,3,3,4823
5,3,3,4824
5,3,3,4825
5,3,3,4827
5,3,3,4828
5,3,3,4829
5,3,3,4830
5,3,3,5572
5,3,3,5573
5,3,3,8597
5,3,3,8598
5,3,3,8659
5,3,3,8660
5,3,3,9091
5,3,3,9103
5,4,3,14
5,4,3,27
5,4,3,4427
5,4,3,6267
5,4,3,7212
5,4,3,7653
5,4,3,8594
5,4,3,8600
5,4,3,8601
5,4,3,8603
5,4,3,8604
5,4,3,8605
5,4,3,8662
5,4,3,8663
5,4,3,8665
5,4,3,9676
5,4,3,14815
5,5,3,20
5,5,3,4826
5,5,3,4834
5,5,3,5060
5,5,3,5061
5,5,3,8599
5,5,3,8661
5,5,3,11339
5,5,3,14681
5,5,3,14682
5,5,3,15657
5,5,3,15945
5,2,2,14800
5,3,2,14799
5,3,2,14802
5,4,2,14795
5,4,2,14796
5,4,2,14798
5,4,2,14801
5,4,2,14916
5,5,2,14797
5,2,1,13637
5,2,1,15629
5,3,1,13638
5,3,1,15630
5,5,1,13639
5,5,1,15631
6,1,2,14793
6,1,2,14794
6,1,3,36
6,1,3,37
6,1,3,8606
6,1,3,8670
6,1,3,8671
8,6,2,14777
8,6,2,14789
8,6,2,14791
8,6,3,19
8,6,3,44
8,6,3,46
8,6,3,2871
8,6,3,4447
8,6,3,4866
8,6,3,5604
8,6,3,8602
8,6,3,8666
8,6,3,8667
8,6,3,8668
8,6,3,8669
